AGNO;MES;PREFINAL;PMAX;DIAS;TEMPMAX;TEMPMIN;TEMPMED;TMAXABS;TMINABS
1963;12;142,3;28,6;18;11,7;4,8;8,3;15,6;-0,6
1964;1;10;4,7;3;13,1;1;7;17,6;-2,6
1964;2;60,5;17,2;11;14,7;4;9,3;22,4;-3,6
1964;3;61,5;10,6;12;15,8;6;10,9;25,4;1,4
1964;4;18,3;9;6;19,5;6;12,8;29;0,2
1964;5;15;14;2;28,7;12,9;20,8;34;9,6
1964;6;8,6;4;4;29,3;14,9;22,1;38;10
1964;7;0;0;0;33,7;17,1;25,4;37,8;13
1964;8;0,1;0,1;1;32,8;16,7;24,8;36,2;13
1964;9;0,1;0,1;2;32,8;17,9;25,3;38,6;13,4
1964;10;5,8;3,2;3;22,1;8,1;15,1;31,8;1
1964;11;48;20,7;5;17,8;4;10,9;25;-0,4
1964;12;50,1;25,1;9;11,3;0,9;6,1;17;-3
1965;1;40,5;12,1;11;11,9;1,6;6,8;19;-2,8
1965;2;25,7;10,7;10;12,8;1,2;7;21;-3,6
1965;3;34,4;13,8;9;17,7;5,2;11,4;28;-2,4
1965;4;15,3;8,4;6;20,5;6,7;13,6;27;2,8
1965;5;2,6;2,2;4;27,2;11,1;19,1;32,6;8,5
1965;6;18,9;15,8;3;32;16;24;39,6;10,2
1965;7;0,1;;;33;15,2;24,2;40;12
1965;8;0,1;0,1;1;33,6;15,9;24,8;40,4;11,4
1965;9;39,5;14,9;5;25,5;11;18,3;31,2;7,8
1965;10;63;23,6;14;21,4;10,6;16;25,6;7
1965;11;83,2;27;11;15,2;6,3;10,7;21,4;-2
1965;12;21;5;10;13;3,3;8,2;17,6;-1,6
1966;1;68,6;18;9;14;4,4;9,2;22,4;-0,2
1966;2;65,1;25,9;12;16,1;4,8;10,5;24,4;0
1966;3;1;1;2;17,9;1,9;9,9;23,2;-1
1966;4;49,9;24;11;19,4;7,2;13,3;27;3,6
1966;5;;;;25,5;10,6;18;30,4;4,2
1966;6;6,3;4,5;3;28,7;13,9;21,3;36;7
1966;7;0,8;0,8;2;33,4;16,6;25;40,8;13
1966;8;0,5;0,5;2;33,9;17,2;25,5;39,4;11
1966;9;20,3;17;5;29,2;15;22,1;36;10,2
1966;10;78,3;15,7;11;19,1;9;14;25,6;0
1966;11;7,6;2,8;6;13,4;2;7,7;17,4;-2,6
1966;12;2,3;1,8;3;13,5;0,2;6,9;18;-3,6
1967;1;19;10;5;13,1;0,7;6,9;19,2;-4,8
1967;2;48,7;12,2;7;14,3;2,4;8,4;23,6;-1,6
1967;3;24;7,3;7;19;5,4;12,2;25,8;-0,4
1967;4;24,6;7,8;11;18;5,6;11,8;28;0,6
1967;5;26,5;6;9;22,8;9,7;16,3;33;6,4
1967;6;125,6;49,9;9;26,5;12,8;19,6;35;9
1967;7;10;10;1;34,9;17,3;26,1;40,8;13
1967;8;0;0;0;34;17,2;25,6;39,2;13,4
1967;9;12;12;3;28,8;13,4;21,1;35,6;10
1967;10;26,2;9,6;6;24,1;11,1;17,6;29,6;3,6
1967;11;62,6;20,4;13;16;6,5;11,2;23;2,8
1967;12;11,4;9,9;5;10,1;-0,1;5;16,4;-7,2
1968;1;5,6;5,1;2;13,8;-0,4;6,7;19,6;-4
1968;2;89;23,7;20;12,1;4,1;8,1;16,4;-3
1968;3;43,6;11,5;12;15,8;4,6;10,2;27,2;-1,2
1968;4;37,4;7,3;11;18,3;7,5;12,9;26;-0,2
1968;5;8,1;5,6;4;23,4;8,8;16,1;29,4;2,4
1968;6;29;24,4;3;29,2;14,2;21,7;37;11
1968;7;0;0;0;34,6;17,4;26;40;12,6
1968;8;4;4;2;32,3;16,1;24,2;36,6;12,4
1968;9;3,2;3,2;1;28,5;13,3;20,9;34;6,6
1968;10;4,6;4,6;1;26,2;10,9;18,6;30,6;6,4
1968;11;68,4;23,3;13;16,4;6,5;11,4;23;2,6
1968;12;65,4;17,9;14;11,6;3,4;7,5;18,4;-1,2
1969;1;65,8;33,6;9;13,4;3,8;8,6;20;-1,8
1969;2;68,3;10,5;17;11,8;3;7,4;17,2;-2
1969;3;64,4;9,1;17;15,1;5,9;10,5;21,4;-1,6
1969;4;37;11,2;12;18,2;6,3;12,3;26,2;1,4
1969;5;50,4;34;10;21,9;9,9;15,9;30,6;4,6
1969;6;17,1;9,8;4;27,1;12,8;20;35,8;8,6
1969;7;0,2;0,2;1;33,3;16,6;25;36,6;13
1969;8;0,3;0,3;1;32,8;16,5;24,7;37,6;13,4
1969;9;42,4;17,8;6;24;11,7;17,9;29,6;7
1969;10;53,2;12,1;11;20,8;10,1;15,4;25,2;4,4
1969;11;54,7;20,4;10;15,4;5,9;10,6;22,6;0
1969;12;42,6;13,3;10;10,4;1,1;5,7;16,4;-3
1970;1;132,9;34,9;19;12,6;5,1;8,9;16,4;-0,2
1970;2;5,8;2,8;4;14,7;1,7;8,2;20,6;-2,6
1970;3;56,2;14,1;10;15,1;3,6;9,3;22,6;-2
1970;4;33,7;17,3;5;19,7;6,5;13,1;28,2;2,4
1970;5;14;5,8;6;23,5;8,8;16,1;33,4;2,8
1970;6;22,3;15,9;5;27,2;13,3;20,3;34,8;10,6
1970;7;0;0;0;34,6;17,3;25,9;37,6;14,6
1970;8;1,2;1,2;2;33;15,9;24,5;37,6;12,4
1970;9;0,1;0,1;1;31,1;14,6;22,8;37,4;9,4
1970;10;16,8;9,1;4;21,6;8,1;14,9;31,2;-0,2
1970;11;22,2;12,6;8;19,2;6,3;12,8;24,8;2
1970;12;50,2;16;6;10,9;-1,2;4,8;18,2;-8,6
1971;1;74,2;12,5;16;10,5;1,5;6;18,6;-12,4
1971;2;9,1;5,8;3;14,6;1,8;8,2;20,6;-1
1971;3;82,7;19,6;13;12,7;2,1;7,4;20,4;-6,4
1971;4;94,6;23;17;16,3;6,6;11,4;23,6;3,4
1971;5;71,8;10,9;17;18;9,1;13,5;26;5,4
1971;6;6,9;3,2;5;25,6;11,6;18,6;35,6;6,4
1971;7;0,1;0,1;2;32,1;16,3;24,2;38,4;12,6
1971;8;0,1;0,1;2;33,2;16,4;24,8;39,4;12,4
1971;9;23,3;18,6;4;28,7;13,8;21,3;35;10,4
1971;10;0,1;0,1;1;25,1;10,4;17,7;29,6;6,8
1971;11;32,1;12,2;7;12,6;1,7;7,1;21;-3,4
1971;12;40,5;24,4;12;11,7;1,9;6,8;15,6;-1,4
1972;1;85,8;14,7;12;9,9;0,7;5,3;15,6;-3
1972;2;55,9;7,9;17;11,4;3,3;7,4;16,6;-1,2
1972;3;83,5;15,6;18;13,6;4,9;9,2;21,2;0,4
1972;4;7,2;4,6;6;19,2;5,7;12,4;24,8;0,4
1972;5;29,3;9,4;8;21,3;8,2;14,8;32,2;2,8
1972;6;14,2;10,6;4;27,4;12,4;19,9;33,4;5,6
1972;7;1,2;1,2;1;32,4;15,8;24,1;36,4;13,4
1972;8;1,8;1,8;1;31,4;15,9;23,7;35,4;12,6
1972;9;49,9;14,2;9;24;11,8;17,9;30;1,2
1972;10;112,6;23,6;14;19,4;9,3;14,3;25;3,2
1972;11;29,3;12,4;8;16,2;6;11,1;21;3
1972;12;32;14,3;6;12;1,5;6,7;16,4;-1,8
1973;1;41;10,3;9;11,8;0,8;6,3;15,4;-2,6
1973;2;28,1;12,2;6;11,7;0,7;6,2;17,5;-3,4
1973;3;65,3;15,1;11;15,1;2,9;9;20;-0,6
1973;4;16,4;15,9;2;19,9;5,1;12,5;26,6;-1,4
1973;5;49,7;34,7;4;24,5;10,4;17,4;30,6;3,6
1973;6;51,8;41,6;7;28,1;13,3;20,7;35;8,4
1973;7;0;0;0;32,8;16,2;24,5;39;11,6
1973;8;2,1;1,5;2;35,1;17,3;26,2;38,6;13,2
1973;9;0;0;0;29,9;13,4;21,7;36,6;6,4
1973;10;53,6;31;4;21,1;8,9;15;25,6;2,5
1973;11;21,5;4,6;7;17,4;5,9;11,7;23;1,4
1973;12;64,6;31;7;11;0,9;6;15,4;-4,8
1974;1;16;7;7;13;2,8;7,9;17;-1,6
1974;2;52,4;14;12;11,5;1,9;6,7;18,8;-1,6
1974;3;22,4;13;7;14,6;3,1;8,9;24,6;-2,4
1974;4;65,8;15,2;18;15;5,4;10,2;21;1
1974;5;5,8;2,6;3;24,9;10,1;17,5;32;4,4
1974;6;22,8;15;6;27,9;13,6;20,7;34,4;9
1974;7;0;0;0;33,9;16,4;25,2;38;12,6
1974;8;0;0;0;33,6;15,7;24,6;38,5;8,5
1974;9;0,4;0,4;1;28,8;12,3;20,6;32,6;5,6
1974;10;32,8;25,5;3;19,7;6,6;13,1;26,6;0
1974;11;16,5;12;4;17;3,9;10,4;23,4;-1
1974;12;1;1;1;15,2;0,4;7,8;20,6;-2,8
1975;1;10,6;3;7;13,5;1,1;7,3;18;-3,6
1975;2;42,4;15;12;14,2;3,7;8,9;18,6;0,6
1975;3;85,7;21,5;12;13,4;3,6;8,5;20;0
1975;4;46,9;15,2;10;18,1;6,2;12,1;26;0,4
1975;5;60,7;16,2;11;20;8,4;14,2;24,8;4
1975;6;22,2;9,5;5;26,7;12,5;19,6;35,6;7,4
1975;7;0;0;0;35,7;16,9;26,3;41,4;13
1975;8;0,3;0,3;1;33,4;17,4;25,4;39;13
1975;9;2,1;1,6;3;27,1;12,2;19,7;32,6;6
1975;10;2;1,3;2;24,3;8,8;16,6;32,2;2
1975;11;17,7;14;5;15,9;3,4;9,6;25,2;-1,8
1975;12;47;18,8;11;11,4;2;6,7;17,6;-2
1976;1;42,9;14,8;3;12,8;-0,9;5,9;16,6;-5,4
1976;2;33,6;7,7;12;12,9;3,6;8,2;19;0
1976;3;39;27;7;15,5;3,3;9,4;23;0,2
1976;4;97,4;21,9;14;15,3;5,5;10,4;23,4;3
1976;5;21,7;9,8;7;23,1;10,4;16,8;30;5
1976;6;9;5;5;29,4;14,1;21,7;34,2;10,2
1976;7;4,4;4,4;1;32,2;17,3;24,7;36,6;14
1976;8;2;2;2;32,4;16,7;24,5;39,4;13,4
1976;9;13,7;5;7;26,1;12,7;19,4;29,6;7,8
1976;10;88,3;18,5;14;17,9;7,9;12,9;29,6;2
1976;11;18,8;7,6;7;13,4;2,2;7,8;18,2;-3
1976;12;134,3;40,1;17;12,3;4,2;8,2;20;-6
1977;1;83,6;20,4;11;11,6;4,3;8;16;-1
1977;2;43,6;9,1;12;13,3;4,6;9;18,6;-1
1977;3;15,1;10;7;18,2;4,6;11,4;25,4;-1,6
1977;4;3;3;3;22,2;6,7;14,4;30;1,4
1977;5;7,6;3,5;5;22,2;8,6;15,4;30,6;3
1977;6;8,9;5,5;5;26,2;11,2;18,7;34,6;6,4
1977;7;5,4;5,4;2;29,2;15;22,1;36,2;11,6
1977;8;4,8;4;2;29,3;14;21,6;35,6;8,2
1977;9;15,3;14,5;2;28,2;13,4;20,8;32,4;9,8
1977;10;51,6;27,5;10;21,3;10,4;15,9;29;7
1977;11;37,1;10,8;6;15,9;4,7;10,3;22,4;-2,6
1977;12;75,7;19,4;13;14,7;5,3;10;20,4;1,8
1978;1;33;13;12;10,5;2,3;6,4;16;-3,4
1978;2;62,8;17,9;11;14,9;4,6;9,8;24,4;-2,6
1978;3;57,4;36,8;7;17;4;10,5;24,4;-0,2
1978;4;52,2;12;13;16,8;6,3;11,6;24,4;0
1978;5;43,1;9,7;11;20,9;8,2;14,5;27,6;4,6
1978;6;20,2;11,2;7;24,6;12;18,3;28,8;7
1978;7;0;0;0;34,5;16,4;25,4;41,6;13
1978;8;0,6;0,6;4;33,2;16,3;24,7;36,4;11,4
1978;9;0,1;0,1;2;30,6;14,2;22,4;34,6;12,2
1978;10;7,1;5;2;22,5;7,7;15,1;30,6;1,4
1978;11;33,9;28,5;7;15,6;4;9,8;20,8;-2,6
1978;12;81,5;21,2;18;13,6;5,5;9,6;23;-1,6
1979;1;111,2;19;21;12,8;5,2;9;16;0,4
1979;2;140,7;29,9;17;12,6;4,2;8,4;22,4;-3,6
1979;3;45,9;14,5;13;14,3;3,9;9,1;23;-2,4
1979;4;21,2;7;6;17,6;5,2;11,4;25,6;1,6
1979;5;8,1;2,6;4;24,4;9,5;17;30,6;4,6
1979;6;8,8;4,7;5;29,4;13,9;21,7;33;9
1979;7;16,2;15,5;2;32,3;16,9;24,6;40,8;12,6
1979;8;0;0;0;32,4;16,5;24,5;37,2;12,6
1979;9;28,2;16,8;6;26,7;13,4;20;32,5;6,4
1979;10;98,2;26,5;14;19,9;10,3;15,1;31;3,6
1979;11;23,4;10,4;7;16,6;3,7;10,1;22,4;-0,6
1979;12;10,1;7;7;13,1;1,4;7,2;21,2;-7,6
1980;1;20,9;10,4;9;11,8;1,3;6,6;20;-2,4
1980;2;22,3;9,4;9;15,7;3,2;9,5;21,4;-1
1980;3;39;12,6;12;16,3;4,6;10,4;27,6;-2
1980;4;32,2;15,3;12;19,8;6,1;12,9;28,2;0,4
1980;5;43,8;13,7;12;21,3;9,2;15,2;26,8;5
1980;6;18,9;10;4;29;13,8;21,4;35,6;9,4
1980;7;0;0;0;32,6;15,4;24;39;11,4
1980;8;1,4;1,4;3;34,4;17,8;26,1;40,4;13,6
1980;9;0,6;0,4;5;30;15,6;22,8;35,2;9,4
1980;10;41,3;13,1;7;22,4;8,9;15,7;29,6;2
1980;11;64;20,2;11;15,7;4,8;10,3;23,6;-3
1980;12;8,6;4;4;11,7;-0,7;5,5;16,6;-6,4
1981;1;1;0,8;2;13;-1,8;5,6;19;-6,6
1981;2;4,8;3,2;6;14,4;0,5;7,5;20,4;-4
1981;3;32,1;11,6;10;19,5;6,4;12,9;27,4;0,6
1981;4;62,1;11,8;19;17,2;7,3;12,2;24;3,4
1981;5;24,7;12;7;23;9,4;16,2;30,2;5,4
1981;6;38,5;21,4;4;30,4;15,2;22,8;39;9,8
1981;7;0,8;0,8;1;32,3;16,2;24,2;41,4;13
1981;8;4,2;3;3;32;16,4;24,2;35;13,8
1981;9;6,5;5,5;4;29,2;13,7;21,4;37,6;7,4
1981;10;25,4;19,9;4;24,4;11;17,7;31,4;4,8
1981;11;0,1;0,1;2;19,7;6;12,9;24,2;1,4
1981;12;106,3;22,4;18;13;4,7;8,8;16,8;-2,6
1982;1;59,7;23,4;9;13,6;3,4;8,5;19,2;-1,6
1982;2;44;9,5;11;13;2,9;7,9;19,4;-0,6
1982;3;53,2;27,4;6;18;4,4;11,2;23,4;0
1982;4;32,4;9,1;11;19,4;6,9;13,1;26,2;2,8
1982;5;4,3;3,4;6;24,8;10,1;17,5;31;3,6
1982;6;6,7;6,7;1;31,2;15,1;23,1;37,6;11,4
1982;7;5,5;5;3;33,8;16,3;25;40,4;12
1982;8;0,4;0,3;4;31,9;16,4;24,1;39;11,6
1982;9;5,9;4,2;4;28,1;13,9;21;33,6;11
1982;10;16,6;9,2;7;20,4;7,9;14,1;28,8;2,4
1982;11;96,9;31;12;15,5;4,8;10,2;22;-0,4
1982;12;28,9;12,3;8;10,8;1,4;6,1;14,6;-1,6
1983;1;0;0;0;14,4;0,5;7,4;20;-1,6
1983;2;9,8;5,3;9;12,2;1,1;6,7;21,8;-5
1983;3;53,4;26;6;19,3;5,5;12,4;26;1
1983;4;39,3;18,7;10;18,6;6,7;12,7;29;1,2
1983;5;13,9;7,7;6;22;8,5;15,2;28;3,8
1983;6;0,1;0,1;2;31,4;15,8;23,6;37,6;9,6
1983;7;0;0;0;32,7;16,4;24,5;36,8;12,6
1983;8;3,6;3,6;2;30;15,8;22,9;34,6;12,8
1983;9;0,4;0,3;4;31,6;15,7;23,7;36;12
1983;10;6,3;4,4;5;25,3;11,1;18,2;29,8;8
1983;11;194,8;23,8;16;17,4;9,2;13,3;20,8;6
1983;12;67,1;25,5;9;13,6;3,4;8,5;21;-1,6
1984;1;10,2;3;11;10,4;1,6;6;14,2;-3,6
1984;2;20,6;9;6;12,8;1,2;7;19,4;-3
1984;3;70,2;11,4;12;13,7;3,2;8,5;21,6;-1,6
1984;4;50,9;10,7;13;19,9;9,2;14,6;24,8;4,2
1984;5;78,1;16,8;20;17,2;7,9;12,6;22;4,6
1984;6;4,6;3;4;27,6;12,7;20,2;35,8;7,2
1984;7;0;0;0;34,7;18;26,4;39,8;14,2
1984;8;0,1;0,1;1;31;16,2;23,6;35;13,2
1984;9;0,7;0,7;2;28,8;13,7;21,2;35,4;7
1984;10;5,8;3,8;3;21,9;8,3;15,1;26,2;4
1984;11;111,4;18,2;16;15,7;7,1;11,4;20,6;2
1984;12;2,4;1,2;7;13;2,7;7,9;16,6;-4,6
1985;1;37,5;9,7;11;10,6;1,1;5,9;18,2;-7,6
1985;2;59,4;19,1;11;15,9;5,7;10,8;22,8;0
1985;3;15,7;8,8;6;15,1;2,4;8,8;22;-1,6
1985;4;51;17,4;9;20,8;7,5;14,1;27,2;3,4
1985;5;40,5;16,3;14;21,2;9;15,1;27,6;3
1985;6;1,1;0,8;2;29,1;14,6;21,8;34,8;9,8
1985;7;0;0;0;33,8;17,9;25,8;38,4;12,8
1985;8;0;0;0;33,7;17,2;25,4;40;12,2
1985;9;7,5;6,5;5;30,9;15,9;23,4;35,6;12,6
1985;10;0,4;0,2;2;25,1;10,3;17,7;32;5,6
1985;11;88,6;20,9;11;15,4;5,7;10,6;26,2;-2
1985;12;35,4;9,4;10;12,6;2,6;7,6;21;-0,8
1986;1;;;;;;;;
1986;2;;;;;;;;
1986;3;;;;;;;;
1986;4;33,7;14,6;11;15,2;4,6;9,9;24,4;-1,8
1986;5;14,9;13,4;5;27;11,8;19,4;34;4,6
1986;6;44,8;43;4;28,7;14,1;21,4;34;10
1986;7;0,1;0,1;2;34,2;17,7;25,9;41;11,6
1986;8;0,5;0,5;1;33,6;16,9;25,2;39,4;13,4
1986;9;30;29;4;29;16;22,5;34;11
1986;10;71,3;17,5;13;21,7;10,7;16,2;26,6;7
1986;11;27,5;16,2;5;16,4;4,9;10,6;20,6;1,8
1986;12;14,7;8,1;4;12,8;1,4;7,1;16;-2,6
1987;1;139,6;34,1;13;11,4;0,3;5,8;16,8;-12,6
1987;2;62,3;21,9;13;13,4;3,3;8,4;24;-1,4
1987;3;5,6;4,1;4;18,3;5,2;11,8;24,8;0,8
1987;4;9,9;8,2;6;22;7,7;14,9;30,8;1,2
1987;5;1;0,7;2;24,6;9,9;17,3;31,6;5,4
1987;6;3,4;2;2;29,2;14,6;21,9;34,4;9,2
1987;7;17,1;10,4;6;31,3;17;24,1;35,2;13
1987;8;18,8;8,9;4;33,2;17,8;25,6;40,2;12,6
1987;9;10,2;2,9;4;31,3;16,4;23,8;35,4;13,6
1987;10;33,1;;;21,3;10,1;15,7;;
1987;11;36,3;;;15,5;4,7;10,1;;
1987;12;66,9;;;17,5;10,6;14;;
1988;1;36,2;6,9;16;12;3,7;7,9;16,6;-1,4
1988;2;18,4;8,2;11;13,5;2,7;8,1;19,2;-2,6
1988;3;14;6,9;4;18,4;3,7;11;25,6;-1
1988;4;36,7;13,8;12;19;7,4;13,2;26;3,4
1988;5;28,6;10,2;6;22,4;10,2;16,3;28,6;6,6
1988;6;26,2;10,1;7;25,3;13;19,2;32;8,6
1988;7;4,7;4,7;2;34,1;17,6;25,8;;
1988;8;0;0;0;35;18,5;26,8;;
1988;9;1,4;1,4;3;30,3;14,4;22,4;39,4;8,8
1988;10;46,1;14,5;9;23,1;10,6;16,8;30;5,4
1988;11;;;;;;;;
1988;12;;;;;;;;
1989;1;21;20,2;4;12,7;0,7;6,7;15,6;-3,6
1989;2;31,1;11,1;13;14,5;3;8,7;21,4;-0,8
1989;3;27;8,6;7;18,5;5,4;11,9;24,6;0,8
1989;4;37,2;10,8;14;16,6;6,1;11,3;22,8;1
1989;5;12,4;8,7;13;24;10,4;17,2;29,4;5,2
1989;6;14,9;10,1;6;29,9;15;22,4;37;10
1989;7;0,2;0,2;1;35,6;19,6;27,6;40;15
1989;8;0,6;0,5;6;34,3;19;26,6;39,8;13,6
1989;9;69,6;21,6;7;27,3;14,8;21,1;32;11,6
1989;10;37,9;19,6;5;23,6;11;17,3;29,4;7,6
1989;11;66,1;13,8;16;16,8;7,8;12,3;24,6;2,2
1989;12;69,2;14,5;21;14,6;6,4;10,5;21,2;0
1990;1;37,7;11,3;9;12;1,2;6,6;16,8;-2,6
1990;2;0,1;0,1;1;18,7;3,1;10,9;24,4;0,2
1990;3;24,6;8,9;7;18,7;5,7;12,2;25,4;0,8
1990;4;92,8;31,6;16;17,6;5,7;11,7;23,4;-0,4
1990;5;17,4;10,9;3;23,8;10,4;17,1;29;6,4
1990;6;0,1;0,1;1;30,4;14,1;22,2;35,2;10,4
1990;7;1,1;0,8;3;34,1;17,9;26;37,4;12,8
1990;8;0,3;0,3;3;33,8;17,6;25,7;36,4;14,4
1990;9;20,6;9,5;8;30,4;16,2;23,3;36;11,8
1990;10;62,2;22;13;20,3;10,1;15,2;28;5,4
1990;11;27,9;17,6;9;16,1;4,2;10,2;22,6;-2,2
1990;12;23,7;11,3;8;11;1,6;6,3;16,4;-4
1991;1;2,7;2,2;6;12;0,1;6;16,4;-4,6
1991;2;41,2;9,9;14;11,3;1,4;6,3;19;-3,6
1991;3;52,5;17,6;13;15;5,6;10,3;23;0,6
1991;4;16,8;4,6;9;17,9;5,4;11,7;26;1
1991;5;0,9;0,6;2;23,3;7,8;15,6;28,8;1,6
1991;6;8,2;4,4;6;30,6;15,4;23;37,2;10,8
1991;7;0,9;0,7;3;34,6;17,7;26,2;39,6;11,4
1991;8;0,1;0,1;1;35,9;18,6;27,2;39,2;15
1991;9;37,5;21,7;8;29,5;15,4;22,5;34,8;8
1991;10;40,5;21,2;10;19,3;7,9;13,6;25,6;1,8
1991;11;27;9;9;15,6;2,8;9,2;23,2;-4,4
1991;12;17,5;10,6;7;13;2,2;7,6;18,8;-2,4
1992;1;15,6;15,6;3;11,3;-1,6;4,8;14,8;-7,4
1992;2;25,1;14,3;6;14,9;0,5;7,7;20,8;-2,4
1992;3;22,5;18,9;8;17,4;4,1;10,7;25,4;-2,6
1992;4;20,9;7,8;9;20,7;6,6;13,7;28,8;1,4
1992;5;1,3;0,7;4;25,4;10,7;18;31,2;6
1992;6;58;23,9;9;23,4;11,6;17,5;30,8;6,8
1992;7;22,4;20,3;3;32,6;17,1;24,8;36,4;14,4
1992;8;0,1;0,1;1;33,9;17,2;25,5;39,2;10,2
1992;9;11,8;11,8;4;29,8;14,2;22;36,4;5,8
1992;10;75,2;33,7;12;18,6;7,8;13,2;28,6;3,4
1992;11;17,9;10,2;4;17,7;4,1;10,9;22,8;0
1992;12;16,1;6,7;11;12,6;2,5;7,5;17,2;-3
1993;1;0,2;0,2;1;13,8;-1,6;6,1;17,6;-5,4
1993;2;11,4;4,6;7;13,4;1,3;7,4;18,6;-2
1993;3;32,7;11,9;8;17,6;3,9;10,7;24,6;-6,4
1993;4;30,8;10,1;13;18,4;5,8;12,1;26,8;1,4
1993;5;31,1;11,1;11;21,9;9,5;15,7;29,2;5,4
1993;6;2;2;1;29,2;13,7;21,4;35,4;8,4
1993;7;0,1;0,1;1;34;17,8;25,9;38;13,6
1993;8;1,2;1,2;1;33,1;17,7;25,4;40,2;9,4
1993;9;3,4;2,3;5;26;12;19;33,4;5,2
1993;10;60,9;16,3;15;18,4;8,1;13,2;26,4;1,4
1993;11;32,5;13,7;12;14,3;5,7;10;18,6;0,6
1993;12;7,7;3,6;5;13,4;1,1;7,3;18,8;-3,4
1994;1;48,8;34,2;8;12,1;0,9;6,5;19;-2,4
1994;2;47,8;12,5;13;14,4;1,8;8,1;23;-4,6
1994;3;2,2;1,8;3;20;5,2;12,6;25;2,8
1994;4;31,9;12,2;8;18,7;5,4;12,1;25,6;-0,4
1994;5;24,6;12,9;8;25,2;10,8;18;36,6;5
1994;6;0,1;0,1;3;31,4;14,8;23,1;39,8;10
1994;7;0,1;0,1;2;37,3;19,2;28,2;42;15,2
1994;8;1,3;1,3;5;35,5;19,3;27,4;40;14
1994;9;16,6;11,4;4;27,1;12,4;19,8;34;7
1994;10;31;15,5;11;21,6;10,6;16,1;26,2;7,2
1994;11;26,2;18,9;7;18,8;5,9;12,3;22,6;1,2
1994;12;2;0,8;3;13,5;1;7,2;18,8;-7,2
1995;1;6,4;3;6;13,6;0,4;7;18;-5
1995;2;7,9;3,2;7;17,3;3,7;10,5;23,6;-1,4
1995;3;19,1;7,1;8;18,6;4,9;11,8;25,8;0,2
1995;4;7,2;2,8;10;21,2;6,6;13,9;28,2;1,6
1995;5;0,5;0,4;4;27,9;12,6;20,2;33,8;6
1995;6;20,7;9,7;5;29;14,7;21,9;34,4;10,6
1995;7;0,1;0,1;1;34,4;18,5;26,4;41,6;13,6
1995;8;1,4;1,4;2;33,8;18,6;26,2;37,4;14,4
1995;9;;;;26,5;12,6;19,6;33,4;6,8
1995;10;2,7;1,8;5;25,3;11,4;18,4;30;7,6
1995;11;41,8;21,9;8;18,1;7,5;12,8;26,4;-0,2
1995;12;116,5;20,5;21;14;6,3;10,2;19,2;1,6
1996;1;167,9;26,9;24;12,7;5,2;9;17,6;1,4
1996;2;32,1;8,6;13;11,6;1,8;6,7;16,4;-4
1996;3;35,1;11,3;10;16,2;4,8;10,5;25,8;0,4
1996;4;19,2;8,4;9;20,8;7,4;14,1;26,8;4
1996;5;99;49,2;13;21,9;10;16;32;5,4
1996;6;4,8;3,1;2;30,3;14,2;22,2;37;11,2
1996;7;3;1,5;4;32,7;17,2;25;39;13,5
1996;8;4,3;3,5;3;31,6;15,8;23,7;36,4;11,4
1996;9;45,6;42,7;9;24,9;12,7;18,8;31,4;7,2
1996;10;23,1;18;5;22,3;8,6;15,4;27,8;3
1996;11;70,9;15,9;9;16,6;5,3;11;25;-0,4
1996;12;156,7;22,6;23;12,8;5,1;9;18,8;-1,2
1997;1;125,6;25,6;15;12,3;3,3;7,8;18,6;-1,4
1997;2;0;0;0;17,8;3,4;10,6;22,6;-0,2
1997;3;0,1;0,1;1;;;;25,2;2,4
1997;4;76,4;57,3;10;22,3;9,2;15,7;29,6;4
1997;5;52,5;37;10;23,3;10,7;17;28,6;5
1997;6;31,6;29,4;6;27,1;14,1;20,6;32;9,2
1997;7;0;0;0;31,3;;;36;9,8
1997;8;30,6;23,6;8;31,9;16,7;24,3;37,7;11,2
1997;9;49,2;18,4;7;28,3;15,1;21,7;33,6;11,9
1997;10;;;;23,9;11,9;17,9;29;3,6
1997;11;87,5;14,1;19;15,8;7,5;11,6;22,2;0
1997;12;105,4;24,5;17;12,9;3,8;8,3;16,6;-1
1998;1;8,4;2,5;4;13,1;2;7,6;18;-1,8
1998;2;44,3;25;9;16,2;4,3;10,3;22,6;-0,2
1998;3;10,8;7;4;20,9;4,4;12,7;24,8;-0,6
1998;4;31,5;9;13;17,7;6;11,8;27,8;-1,9
1998;5;48,9;13,6;11;21,5;9,6;15,6;27,8;1,8
1998;6;16,2;14,2;2;31,1;15,2;23,1;38,2;11
1998;7;0;0;0;34,8;17,8;26,3;38,2;13
1998;8;0,2;0,1;4;34,2;17,6;25,9;38,6;13,4
1998;9;43,9;18,7;9;27,6;14,4;21;34,8;11
1998;10;0,8;0,6;3;22,7;7,8;15,2;27,2;3,8
1998;11;6,8;3,1;8;17,4;4,7;11,1;22,2;-2,8
1998;12;33;15,5;7;13,9;-0,8;6,6;21,5;-4,2
1999;1;23,5;9,7;8;12,9;0,1;6,5;20,6;-3,6
1999;2;21,7;9,2;6;14,1;0,1;7,1;21,8;-4,8
1999;3;40,2;13,4;11;17,6;4,5;11,1;24;-1
1999;4;5,7;4,2;7;22;7;14,5;26,6;1,4
1999;5;5,4;4,2;6;27,4;12;19,7;38,6;4,8
1999;6;5,1;3,8;5;31,3;14,6;23;36,8;9,8
1999;7;0;0;0;34,7;18,2;26,5;40,6;14
